model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,1.7,13,40.6,3827.0,544.0
model02,0.8,7,32.0,3050.0,348.0
model02,0.2,32,85.2,6801.0,282.0
model01,1.4,32,86.3,7200.0,945.0
model03,0.5,12,42.3,3960.0,302.0
model01,0.9,12,42.3,3942.0,437.0
model03,0.4,20,52.0,4845.0,302.0
model02,0.1,23,62.6,5805.0,165.0
model02,1.7,6,34.1,3089.0,553.0
model02,1.9,2,26.4,2599.0,541.0
model03,1.4,1,25.0,2531.0,442.0
model01,2.0,1,24.6,2396.0,550.0
model03,1.0,11,43.6,3752.0,458.0
model02,1.6,26,75.1,5425.0,940.0
model02,1.7,27,72.9,6699.0,847.0
model04,0.1,33,84.2,7492.0,197.0
model03,0.9,10,34.7,3300.0,389.0
model02,1.6,20,52.4,5006.0,704.0
model03,1.7,11,40.6,3396.0,571.0
model03,2.0,24,61.5,5645.0,822.0
model01,0.6,31,87.7,7682.0,535.0
model01,0.0,9,30.4,2981.0,50.0
model01,0.3,3,24.3,2199.0,192.0
model04,0.0,7,31.4,2969.0,50.0
model02,0.9,9,34.5,3343.0,385.0
model01,0.5,16,48.1,4699.0,340.0
model04,0.6,16,51.0,3868.0,374.0
model01,2.0,10,30.9,2976.0,593.0
model02,1.4,34,88.4,7599.0,919.0
model01,0.6,10,33.0,3250.0,318.0
model04,0.1,21,61.9,4971.0,168.0
model01,0.5,28,73.7,6794.0,426.0
model01,1.5,20,50.9,4558.0,693.0
model02,1.5,29,76.0,5579.0,898.0
model04,1.6,27,75.3,6487.0,953.0
model04,0.7,13,41.5,3975.0,372.0
model03,0.1,27,73.8,6474.0,179.0
model01,1.0,28,73.6,6843.0,649.0
model02,0.7,29,79.7,7457.0,501.0
model04,1.4,1,25.0,2526.0,457.0
model01,0.4,29,78.6,7200.0,380.0
model01,1.4,16,50.9,4268.0,649.0
model04,0.8,10,31.7,3058.0,367.0
model04,1.3,5,24.8,2492.0,442.0
model04,0.3,3,23.9,2352.0,197.0
model02,0.1,26,74.3,5880.0,179.0
model03,1.5,21,59.7,4952.0,730.0
model02,0.6,1,26.4,2614.0,285.0
model04,2.0,27,72.7,6487.0,976.0
model01,0.0,22,61.9,5901.0,60.0
model02,0.7,3,24.3,2413.0,302.0
model02,0.7,19,52.1,4917.0,399.0
model01,0.3,19,54.6,5022.0,276.0
model01,0.1,6,31.4,2926.0,127.0
model02,0.2,16,57.2,4681.0,221.0
model02,0.9,33,85.7,6864.0,760.0
model03,1.5,25,60.0,5645.0,732.0
model02,0.6,10,32.8,3208.0,306.0
model01,1.1,4,24.4,2408.0,399.0
model03,1.6,22,64.7,5855.0,780.0
model03,0.6,19,51.1,4695.0,367.0
model01,0.2,33,85.6,8543.0,292.0
model01,0.8,12,43.0,3948.0,398.0
model04,0.6,3,25.8,2490.0,297.0
model03,1.5,17,50.4,4517.0,657.0
model01,1.8,10,33.9,3229.0,586.0
model04,0.7,15,41.6,3912.0,370.0
model02,0.6,13,41.6,3987.0,332.0
model03,1.1,21,61.9,4589.0,576.0
model02,1.4,31,87.6,6016.0,912.0
model04,1.3,3,24.8,2502.0,439.0
model02,1.1,31,77.5,6146.0,692.0
model03,0.2,32,83.8,6781.0,270.0
model01,0.2,20,57.0,5191.0,228.0
model04,1.5,31,86.0,6021.0,1042.0
model02,1.3,31,82.2,5556.0,817.0
model01,0.1,19,52.8,4898.0,154.0
model03,0.1,23,62.1,5621.0,163.0
model02,1.2,6,30.9,2811.0,434.0
model03,1.9,17,53.0,4717.0,732.0
model04,0.5,11,42.5,3385.0,310.0
model03,0.5,25,64.1,5984.0,369.0
model01,1.3,11,41.2,3613.0,553.0
model03,0.3,23,62.6,5650.0,288.0
model01,0.3,27,73.8,6219.0,322.0
model02,1.9,34,80.5,7536.0,963.0
model04,0.7,30,76.1,7373.0,509.0
model01,0.1,22,62.1,5603.0,172.0
model01,0.2,11,44.4,3763.0,201.0
model04,1.9,5,26.0,2538.0,570.0
model04,1.7,34,81.6,7856.0,962.0
model02,1.2,16,53.4,4175.0,546.0
model04,1.3,20,50.3,4702.0,617.0
model03,0.8,27,80.2,7483.0,552.0
model01,0.8,2,23.6,2281.0,323.0
model04,1.7,16,53.2,4681.0,735.0
model03,0.4,11,43.3,3655.0,271.0
model04,1.1,9,31.7,3068.0,416.0
model01,0.1,1,23.3,2295.0,115.0
model02,1.8,19,51.2,4845.0,713.0
model02,0.3,27,73.8,6699.0,315.0
model03,0.6,12,41.7,3862.0,334.0
model02,1.3,20,49.8,4667.0,592.0
model02,0.7,20,52.0,4921.0,399.0
model03,0.6,18,51.2,4638.0,363.0
model01,0.8,29,75.9,7314.0,565.0
model04,1.3,10,31.0,2966.0,495.0
model01,1.0,7,32.4,3071.0,424.0
model01,1.6,29,75.0,6191.0,939.0
model01,1.7,28,73.5,6781.0,884.0
model01,0.4,9,34.3,3279.0,259.0
model02,1.4,14,41.5,3915.0,568.0
model02,0.6,19,51.3,4838.0,365.0
model03,0.5,33,87.1,8052.0,454.0
model04,1.3,24,63.8,5770.0,706.0
model04,1.1,6,31.9,2876.0,417.0
model03,0.4,1,23.6,2338.0,215.0
model03,0.8,13,43.1,4012.0,395.0
model03,2.0,27,72.7,6531.0,903.0
model02,1.5,21,59.7,5253.0,726.0
model03,1.8,4,25.5,2504.0,527.0
model02,0.4,12,43.3,4107.0,272.0
model01,1.7,11,40.0,3538.0,581.0
model04,0.2,21,62.6,4628.0,244.0
model04,1.5,28,76.2,5342.0,921.0
model04,1.6,24,65.0,6191.0,809.0
model04,1.4,9,31.6,3009.0,518.0
model02,0.0,20,51.5,5109.0,58.0
model03,1.2,11,44.1,3327.0,495.0
model03,2.0,14,40.5,3819.0,643.0
model04,1.2,19,53.0,4617.0,568.0
