model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,1.3,19,49.4,4520.0,585.0
model03,1.8,15,42.0,3987.0,638.0
model03,1.2,15,43.0,3859.0,506.0
model03,1.6,15,40.7,3895.0,604.0
model03,0.0,35,84.3,8105.0,68.0
model03,0.7,13,41.8,3954.0,364.0
model03,0.9,23,62.0,5820.0,506.0
model03,0.8,22,64.1,5896.0,476.0
model03,0.4,5,23.6,2288.0,217.0
model03,0.4,10,34.2,3210.0,251.0
model03,1.7,18,53.5,4913.0,689.0
model03,1.5,27,75.9,5726.0,856.0
model03,0.6,35,88.1,8331.0,513.0
model03,1.5,11,40.7,3431.0,579.0
model03,0.1,21,62.3,4797.0,165.0
model03,1.9,35,79.5,7466.0,943.0
model03,0.9,24,61.8,5855.0,508.0
model03,1.5,23,59.8,5390.0,789.0
model03,0.6,4,26.0,2519.0,285.0
model03,2.0,17,51.9,4706.0,752.0
model03,0.5,28,74.1,6914.0,413.0
model03,1.5,35,87.0,7232.0,987.0
model03,1.3,21,63.3,4801.0,673.0
model03,0.1,32,85.0,7492.0,189.0
model03,0.9,31,85.9,5865.0,773.0
model03,0.7,8,31.7,3050.0,327.0
model03,1.1,17,52.0,4660.0,518.0
model03,0.1,33,84.8,7673.0,186.0
model03,0.7,34,84.1,7305.0,610.0
model03,0.6,29,72.5,6843.0,446.0
model03,0.2,2,22.7,2259.0,154.0
model03,0.5,17,48.1,4523.0,335.0
model03,1.7,9,33.9,3245.0,561.0
model03,1.2,27,72.5,5669.0,686.0
model03,2.0,12,40.5,3749.0,629.0
model03,0.0,22,62.9,5790.0,61.0
model03,1.3,26,69.8,4660.0,734.0
model03,1.1,23,61.9,5775.0,574.0
model03,0.6,24,67.0,6102.0,418.0
model03,1.2,19,53.1,4635.0,559.0
model03,1.7,26,72.3,5712.0,839.0
model03,0.9,7,34.7,3205.0,386.0
model03,0.7,20,51.7,4827.0,402.0
model03,0.3,5,23.9,2345.0,189.0
model03,2.0,30,72.7,6972.0,901.0
model03,1.4,4,25.0,2490.0,449.0
model03,0.2,9,32.0,3066.0,168.0
model03,0.2,30,74.6,6607.0,260.0
model03,1.1,5,24.2,2377.0,387.0
model03,0.0,8,31.6,2979.0,51.0
model03,0.4,4,23.6,2290.0,219.0
model03,0.3,21,62.9,5274.0,288.0
model03,0.5,23,64.2,5932.0,369.0
model03,1.7,23,61.8,5692.0,758.0
model03,1.8,28,71.9,6614.0,864.0
model03,1.7,16,53.8,4131.0,680.0
model03,0.0,28,74.6,6972.0,64.0
model03,2.0,2,24.6,2364.0,542.0
model03,1.8,18,50.7,4760.0,708.0
model03,0.1,18,52.8,4849.0,148.0
model03,0.4,27,77.0,6699.0,369.0
model03,0.0,18,51.5,4775.0,57.0
model03,0.3,26,74.0,5870.0,310.0
model03,0.5,24,64.0,5995.0,366.0
model03,1.8,35,83.1,7937.0,955.0
model03,1.0,34,87.7,8116.0,704.0
model03,1.2,24,63.3,5434.0,615.0
model03,0.6,23,66.9,5942.0,412.0
model03,1.1,35,79.3,7107.0,705.0
model03,1.3,29,69.5,5434.0,737.0
model03,0.4,16,52.4,4008.0,301.0
model03,0.6,6,32.8,2808.0,303.0
model03,0.1,24,62.0,5645.0,165.0
model03,1.5,32,89.0,6713.0,991.0
model03,0.3,22,62.8,5659.0,290.0
model03,1.7,6,34.1,2798.0,549.0
model03,0.0,11,41.8,3557.0,53.0
model03,0.6,1,26.1,2454.0,283.0
model03,0.9,4,25.6,2533.0,350.0
model03,0.6,16,51.3,4182.0,363.0
model03,0.3,17,56.5,5033.0,273.0
model03,1.1,28,71.6,6673.0,643.0
model03,0.7,11,41.9,3321.0,355.0
model03,2.0,18,51.9,4746.0,752.0
model03,0.9,11,41.9,3351.0,401.0
model03,1.7,32,82.4,7355.0,918.0
model03,0.3,3,23.9,2319.0,188.0
model03,0.0,15,41.8,3999.0,54.0
model03,1.4,6,31.4,2808.0,481.0
model03,1.9,19,52.9,4948.0,735.0
model03,0.4,25,63.3,5845.0,335.0
model03,0.5,3,25.1,2437.0,256.0
model03,1.9,16,53.1,4232.0,735.0
model03,2.0,15,40.7,3810.0,637.0
model03,1.6,26,75.4,5053.0,963.0
model03,0.9,18,51.2,4663.0,464.0
model03,1.5,18,50.4,4642.0,654.0
model03,1.4,8,31.4,2999.0,489.0
model03,0.5,11,42.2,3939.0,304.0
model03,1.3,3,24.8,2485.0,429.0
model03,1.9,3,26.2,2582.0,535.0
model03,0.2,14,47.1,4326.0,202.0
model03,0.5,13,42.2,4030.0,305.0
model03,1.2,16,53.1,4122.0,553.0
model03,0.7,17,51.9,4652.0,394.0
model03,0.5,2,25.1,2393.0,2554.0
model03,1.4,3,25.0,2487.0,449.0
model03,1.1,19,51.9,4808.0,520.0
model03,1.4,20,50.4,4628.0,615.0
model03,1.0,28,72.3,6575.0,625.0
model03,0.8,21,64.1,5270.0,479.0
model03,1.7,35,81.9,7654.0,906.0
model03,0.9,30,73.0,6395.0,675.0
model03,0.2,17,56.9,5018.0,220.0
model03,0.2,31,84.0,5780.0,267.0
model03,1.1,3,24.3,2307.0,386.0
model03,0.7,23,64.3,5911.0,447.0
model03,1.9,2,26.2,2538.0,540.0
model03,1.6,33,70.7,5018.0,730.0
model03,1.9,20,52.9,4808.0,735.0
model03,0.1,25,62.0,5721.0,165.0
model03,1.9,8,31.7,3035.0,578.0
model03,1.7,10,33.9,3258.0,556.0
model03,1.5,8,31.6,3025.0,531.0
model03,0.3,33,83.1,7617.0,331.0
model03,0.5,31,87.2,7232.0,451.0
model03,0.3,35,83.2,7729.0,335.0
model03,0.7,3,24.1,2355.0,309.0
model03,1.1,10,31.9,3096.0,404.0
model03,0.0,20,51.5,5041.0,59.0
model03,1.6,13,40.8,3850.0,599.0
model03,1.6,5,25.4,2533.0,490.0
model03,1.4,28,78.0,6271.0,825.0
model03,0.2,33,83.7,7069.0,268.0
model03,0.4,34,87.0,7886.0,379.0
model03,1.7,33,82.3,7599.0,917.0
model03,1.0,20,50.9,4808.0,516.0
model03,1.1,26,71.7,5174.0,646.0
model03,0.1,16,52.7,4271.0,148.0
model03,1.6,34,71.3,5166.0,726.0
model03,1.5,29,76.0,5702.0,882.0
model03,0.4,26,77.3,5635.0,357.0
model03,0.9,34,85.9,7122.0,769.0
model03,2.0,16,52.1,4232.0,737.0
model03,1.7,19,53.4,5014.0,688.0
model03,1.2,25,63.2,5421.0,628.0
model03,1.9,22,59.0,5355.0,779.0
model03,0.6,17,51.2,4610.0,370.0
model03,0.5,32,87.5,7816.0,459.0
model03,0.9,9,34.7,3287.0,385.0
model03,0.6,33,88.2,8194.0,510.0
model03,2.0,23,61.6,5617.0,825.0
model03,0.3,8,33.6,3210.0,217.0
model03,1.2,23,63.5,5304.0,619.0
model03,1.9,27,70.7,6265.0,860.0
model03,1.9,4,26.2,2560.0,539.0
model03,1.6,9,32.1,3086.0,548.0
